created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Sun Oct 04 09:18:46 +0000 2020,6.0,76.0,Pedro73105188,[],0.0,[],@Doesq_ @GThiccington @Pr0zTV @Xbox It is,1.3126835717993636e+18,,"[{'screen_name': 'Doesq_', 'name': 'Doesq', 'id': 1088890963173535744, 'id_str': '1088890963173535744', 'indices': [0, 7]}, {'screen_name': 'GThiccington', 'name': 'AtYourMomeHouse', 'id': 1205242524400525312, 'id_str': '1205242524400525312', 'indices': [8, 21]}, {'screen_name': 'Pr0zTV', 'name': 'ptv', 'id': 1567448130, 'id_str': '1567448130', 'indices': [22, 29]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [30, 35]}]"
Sun Oct 04 09:18:17 +0000 2020,6.0,103.0,Tactica12345,[],0.0,[],"@tommyraz24 @Xbox Who is the ""trolls""",1.3126834478156718e+18,israel,"[{'screen_name': 'tommyraz24', 'name': 'Tom', 'id': 225560494, 'id_str': '225560494', 'indices': [0, 11]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [12, 17]}]"
Sun Oct 04 09:17:22 +0000 2020,10.0,65.0,The_Daave,"[{'text': 'PS5', 'indices': [107, 111]}, {'text': 'XboxSeriesX', 'indices': [153, 165]}]",0.0,[],"These ""Japanese Try"" video suck. More play room, great.
Ffs @PlayStation is doing such a bad job promoting #PS5 compared to @Xbox open communication for #XboxSeriesX",1.312683218227925e+18,Deutschland,"[{'screen_name': 'PlayStation', 'name': 'PlayStation', 'id': 10671602, 'id_str': '10671602', 'indices': [60, 72]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [124, 129]}]"
Sun Oct 04 09:16:27 +0000 2020,0.0,7.0,AliAlsaad9,[],0.0,[],@bloop55346480 @LuisGustavoSn11 @Xbox Men ? Most of them are kids,1.3126829891769754e+18,,"[{'screen_name': 'bloop55346480', 'name': 'bloop', 'id': 1309895093298450432, 'id_str': '1309895093298450432', 'indices': [0, 14]}, {'screen_name': 'LuisGustavoSn11', 'name': 'Luis Gustavo Sánchez Nuñez', 'id': 1298671756400631809, 'id_str': '1298671756400631809', 'indices': [15, 31]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [32, 37]}]"
Sun Oct 04 09:16:21 +0000 2020,5.0,14.0,EricBer80142114,[],1.0,[],@Xbox Let me get a number 2 https://t.co/qMCPOL5ebS,1.3126829646990418e+18,,"[{'screen_name': 'PlantLifeB', 'name': 'branden 🌱💪🏾❤️', 'id': 1261875953430663168, 'id_str': '1261875953430663168', 'indices': [3, 14]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [16, 21]}]"
Sun Oct 04 09:16:15 +0000 2020,24.0,93.0,JoelRafaelMore2,[],0.0,[],@MrboomstickXL @Xbox That was a trash presentation,1.3126829365216993e+18,"Roterdão, Holanda (Países Baix","[{'screen_name': 'MrboomstickXL', 'name': '💥Boom💥', 'id': 2711059713, 'id_str': '2711059713', 'indices': [0, 14]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [15, 20]}]"
Sun Oct 04 09:16:14 +0000 2020,2.0,35.0,JeremyJ64223725,[],0.0,[],@ps3servicesuk @XA_Noah @Xbox @XboxSupport @xresolver IPv4 adresses are public there is no federal law saying you cannot share them apparently,1.3126829328893215e+18,,"[{'screen_name': 'ps3servicesuk', 'name': 'PS3SERVICESUK', 'id': 763452211997401088, 'id_str': '763452211997401088', 'indices': [0, 14]}, {'screen_name': 'XA_Noah', 'name': 'Noah ~ Xbox Ambassador 💭', 'id': 1198651920933625857, 'id_str': '1198651920933625857', 'indices': [15, 23]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [24, 29]}, {'screen_name': 'XboxSupport', 'name': 'Xbox Support', 'id': 59804598, 'id_str': '59804598', 'indices': [30, 42]}, {'screen_name': 'xresolver', 'name': 'xbox resolver', 'id': 834932924860465152, 'id_str': '834932924860465152', 'indices': [43, 53]}]"
Sun Oct 04 09:16:11 +0000 2020,13.0,29.0,StrongmanViking,[],0.0,[],@XboxSupport @Xbox @xboxuk  tweeted you guys twice now about a product on the xbox store i paid for that doesnt work cant answer my tweets but are retweeting. I paid for a product that doesnt work wheres my support or help shouldnt take me 3 tweets.,1.3126829190146826e+18,"Manchester, England","[{'screen_name': 'XboxSupport', 'name': 'Xbox Support', 'id': 59804598, 'id_str': '59804598', 'indices': [0, 12]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [13, 18]}, {'screen_name': 'xboxuk', 'name': 'Xbox UK', 'id': 196618084, 'id_str': '196618084', 'indices': [19, 26]}]"
Sun Oct 04 09:15:47 +0000 2020,6099.0,758.0,KaizerAllen,[],0.0,[],@Jake_Catseye @ToysForBob @CrashBandicoot @PlayStation @Xbox Oh no :( Sorry dude.,1.3126828206916608e+18,N. Sanity Beach,"[{'screen_name': 'Jake_Catseye', 'name': 'Nintendood Blue', 'id': 185038108, 'id_str': '185038108', 'indices': [0, 13]}, {'screen_name': 'ToysForBob', 'name': 'Toys For Bob', 'id': 393695316, 'id_str': '393695316', 'indices': [14, 25]}, {'screen_name': 'CrashBandicoot', 'name': 'Crash Bandicoot', 'id': 844285817266745344, 'id_str': '844285817266745344', 'indices': [26, 41]}, {'screen_name': 'PlayStation', 'name': 'PlayStation', 'id': 10671602, 'id_str': '10671602', 'indices': [42, 54]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [55, 60]}]"
Sun Oct 04 09:15:29 +0000 2020,110.0,65.0,ps3servicesuk,[],0.0,[],@JeremyJ64223725 @XA_Noah @Xbox @XboxSupport @xresolver No but legal also not everyone uses a sniffer to obtain ips of players they also use it for their network and such which again is legal,1.312682746330968e+18,"Guadalajara, Jalisco","[{'screen_name': 'JeremyJ64223725', 'name': 'cringe', 'id': 869712418942963712, 'id_str': '869712418942963712', 'indices': [0, 16]}, {'screen_name': 'XA_Noah', 'name': 'Noah ~ Xbox Ambassador 💭', 'id': 1198651920933625857, 'id_str': '1198651920933625857', 'indices': [17, 25]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [26, 31]}, {'screen_name': 'XboxSupport', 'name': 'Xbox Support', 'id': 59804598, 'id_str': '59804598', 'indices': [32, 44]}, {'screen_name': 'xresolver', 'name': 'xbox resolver', 'id': 834932924860465152, 'id_str': '834932924860465152', 'indices': [45, 55]}]"
Sun Oct 04 09:14:59 +0000 2020,0.0,21.0,UserN75736084,[],0.0,[],"@LuisLpe92254245 @Xbox You don't want to,but we do.",1.3126826177796178e+18,,"[{'screen_name': 'LuisLpe92254245', 'name': 'NGHE_Lumadolu', 'id': 1155434363741454337, 'id_str': '1155434363741454337', 'indices': [0, 16]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [17, 22]}]"
Sun Oct 04 09:13:46 +0000 2020,0.0,13.0,Aaron71291042,[],0.0,[],"@Spidey_YT21 @2SikPlays @SkyRider805 @its_menieb @Xbox My point is that people invest in a system and then the games they become familiar with become exclusive to another console. 

[X] unfair
[X] marketing scheme
[X] disingenuous to loyal fans
[  ]  longevity",1.3126823135080325e+18,,"[{'screen_name': 'Spidey_YT21', 'name': 'Spidey_YT #BLM (1-2)', 'id': 1285286799775072257, 'id_str': '1285286799775072257', 'indices': [0, 12]}, {'screen_name': '2SikPlays', 'name': '2SikPlays', 'id': 1271364056155402241, 'id_str': '1271364056155402241', 'indices': [13, 23]}, {'screen_name': 'SkyRider805', 'name': 'Sky-Rider', 'id': 1082884071137566720, 'id_str': '1082884071137566720', 'indices': [24, 36]}, {'screen_name': 'its_menieb', 'name': 'Mohamed Enieb', 'id': 1052276148439277568, 'id_str': '1052276148439277568', 'indices': [37, 48]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [49, 54]}]"
Sun Oct 04 09:13:31 +0000 2020,396.0,4630.0,iamthatiam29,"[{'text': 'GamePink', 'indices': [15, 24]}]",1.0,[],"💕 #GamePink 2020 💕

Support @NBCF for your chance to WIN BIG! Entry is free but donations increase your odds of winning! ☺

🎁 Multiple prizes from @Xbox, @Halo, @SamsungMobileUS, @HyperX &amp; more!
♥ Like + RT + Tag Friends
🖱 Visit and Enter: https://t.co/yhNllaPxnt https://t.co/oO33EZXplW",1.3126822512185713e+18,,"[{'screen_name': 'PLAYRgg', 'name': 'PLAYR.gg 🏆', 'id': 957851236383928320, 'id_str': '957851236383928320', 'indices': [3, 11]}, {'screen_name': 'NBCF', 'name': 'NBCF', 'id': 16722167, 'id_str': '16722167', 'indices': [41, 46]}]"
Sun Oct 04 09:13:29 +0000 2020,2.0,35.0,JeremyJ64223725,[],0.0,[],"@ps3servicesuk @XA_Noah @Xbox @XboxSupport @xresolver Right, but still, there should be no reason at all to sniff/resolve a persons IPv4 Adress",1.3126822410346824e+18,,"[{'screen_name': 'ps3servicesuk', 'name': 'PS3SERVICESUK', 'id': 763452211997401088, 'id_str': '763452211997401088', 'indices': [0, 14]}, {'screen_name': 'XA_Noah', 'name': 'Noah ~ Xbox Ambassador 💭', 'id': 1198651920933625857, 'id_str': '1198651920933625857', 'indices': [15, 23]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [24, 29]}, {'screen_name': 'XboxSupport', 'name': 'Xbox Support', 'id': 59804598, 'id_str': '59804598', 'indices': [30, 42]}, {'screen_name': 'xresolver', 'name': 'xbox resolver', 'id': 834932924860465152, 'id_str': '834932924860465152', 'indices': [43, 53]}]"
Sun Oct 04 09:13:04 +0000 2020,24.0,704.0,erikrhysphoto,[],1.0,[],Saying GG after every match is a side quest that gives you a charisma buff all day long,1.3126821381315953e+18,"Oakland, CA","[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [3, 8]}]"
Sun Oct 04 09:13:00 +0000 2020,0.0,21.0,UserN75736084,[],0.0,[],@CEO_OF_WAGON @Xbox Bigger than Ecuador.,1.3126821191062405e+18,,"[{'screen_name': 'CEO_OF_WAGON', 'name': 'Mr.Wagon3', 'id': 1215105181131689989, 'id_str': '1215105181131689989', 'indices': [0, 13]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [14, 19]}]"
