created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Tue Oct 27 13:43:34 +0000 2020,1.0,37.0,Mrcakebot45,[],1.0,[],Who’s on right now,1.321085133059969e+18,Somewhere On Earth,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [3, 8]}]"
Tue Oct 27 13:43:33 +0000 2020,545.0,514.0,NelonDesigns,[],1.0,[],@Xbox Check out my Forza photos captured on Xbox one x 🤠 https://t.co/FdX2FrY54z,1.321085126286213e+18,,"[{'screen_name': 'wxrry', 'name': '愛', 'id': 1212420313461317633, 'id_str': '1212420313461317633', 'indices': [3, 9]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [11, 16]}]"
Tue Oct 27 13:43:10 +0000 2020,1.0,21.0,abdulla22645830,[],0.0,[],@Xbox Me was just on fifa just got of,1.32108503205274e+18,,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [0, 5]}]"
Tue Oct 27 13:43:05 +0000 2020,92.0,198.0,AiBagley,"[{'text': 'designlab', 'indices': [10, 20]}, {'text': 'XboxSeriesX', 'indices': [65, 77]}, {'text': 'XboxSeriesS', 'indices': [84, 96]}]",0.0,[],The @xbox #designlab is currently revamping before the launch if #XboxSeriesX &amp; #XboxSeriesS but here are some @watchdogsgame inspired controllers to tantalize operatives (the light blue one is inspired by yours truly). https://t.co/Npie39cyQe,1.3210850108966298e+18,"London, England","[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [4, 9]}, {'screen_name': 'watchdogsgame', 'name': 'Watch Dogs: Legion', 'id': 593755029, 'id_str': '593755029', 'indices': [115, 129]}]"
Tue Oct 27 13:43:04 +0000 2020,503.0,276.0,kekflx,[],0.0,[],"@ShadowOpsFN @Xbox it’s just fortnite in general 
ps4 does it
pc does it
so does switch",1.321085005699887e+18,he/him,"[{'screen_name': 'ShadowOpsFN', 'name': 'ShadowOpsFN', 'id': 2748437715, 'id_str': '2748437715', 'indices': [0, 12]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [13, 18]}]"
Tue Oct 27 13:42:39 +0000 2020,8.0,205.0,ZacACraig89,[],0.0,[],@Xbox I wish I was.,1.3210849003725496e+18,Chester,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [0, 5]}]"
Tue Oct 27 13:42:32 +0000 2020,30.0,549.0,preston561,[],1.0,[],"We're giving away the ULTIMATE Next Gen setup.

A custom @robeytech @NZXT PC ft. @TEAMEVGA RTX 3080 FTW3 and @IntelGaming 10900KF 

PLUS these next gen consoles 🎮
@PlayStation 5
@XBOX Series X

Enter here ► https://t.co/RLqdswtrqC

#3080 #XboxSeriesX #PS5 https://t.co/pE3PaQzKJy",1.3210848703372206e+18,,"[{'screen_name': 'Newegg', 'name': 'Newegg', 'id': 17221819, 'id_str': '17221819', 'indices': [3, 10]}, {'screen_name': 'robeytech', 'name': 'Robeytech', 'id': 31544333, 'id_str': '31544333', 'indices': [69, 79]}, {'screen_name': 'NZXT', 'name': 'NZXT', 'id': 19936982, 'id_str': '19936982', 'indices': [80, 85]}, {'screen_name': 'TEAMEVGA', 'name': 'EVGA', 'id': 26180582, 'id_str': '26180582', 'indices': [93, 102]}, {'screen_name': 'IntelGaming', 'name': 'Intel Gaming', 'id': 414334713, 'id_str': '414334713', 'indices': [121, 133]}]"
Tue Oct 27 13:42:28 +0000 2020,11.0,74.0,ThePrim3Ninja,[],0.0,[],"@masonnolan12 @BIG_HIMES30 @dreadbreezy1 @Xbox Ps5 literally has 10 teraflops while xbox series x has 12 teraflops so how can you say that ps5 will still look better? Do your research before commenting, idiot. And your comment on it will still outsell ps5, xbox series s is selling for $299, see what I'm getting at?",1.3210848535977083e+18,,"[{'screen_name': 'masonnolan12', 'name': 'mason nolan', 'id': 1286353329900093441, 'id_str': '1286353329900093441', 'indices': [0, 13]}, {'screen_name': 'BIG_HIMES30', 'name': 'James', 'id': 1260293088595120130, 'id_str': '1260293088595120130', 'indices': [14, 26]}, {'screen_name': 'dreadbreezy1', 'name': 'dreadbreezy', 'id': 1261484351797243904, 'id_str': '1261484351797243904', 'indices': [27, 40]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [41, 46]}]"
Tue Oct 27 13:42:23 +0000 2020,615.0,1407.0,MrNicePeter,"[{'text': 'xboxsucks', 'indices': [121, 131]}]",0.0,[],@Noushi73658136 @Xbox Over priced garbage. Always buy an extended warranty with Xbox controllers because they are junk.  #xboxsucks https://t.co/mHs3jPGKZK,1.3210848352601907e+18,,"[{'screen_name': 'Noushi73658136', 'name': 'Noushi', 'id': 1321053848681807880, 'id_str': '1321053848681807880', 'indices': [0, 15]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [16, 21]}]"
Tue Oct 27 13:42:02 +0000 2020,901.0,369.0,Zaykoza,[],0.0,[],@Walrus_9000 @PlayStation @Xbox You started looking through everyone's tweets🤷‍♂️,1.3210847463577068e+18,,"[{'screen_name': 'Walrus_9000', 'name': 'Walrus 🎃', 'id': 788345206513012736, 'id_str': '788345206513012736', 'indices': [0, 12]}, {'screen_name': 'PlayStation', 'name': 'PlayStation', 'id': 10671602, 'id_str': '10671602', 'indices': [13, 25]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [26, 31]}]"
