num_topics,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
alpha,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.31, 0.31, 0.31, 0.31, 0.31, 0.61, 0.61, 0.61, 0.61, 0.61, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 0.01, 0.01, 0.01, 0.01, 0.01, 0.31, 0.31, 0.31, 0.31, 0.31, 0.61, 0.61, 0.61, 0.61, 0.61, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 0.01, 0.01, 0.01, 0.01, 0.01, 0.31, 0.31, 0.31, 0.31, 0.31, 0.61, 0.61, 0.61, 0.61, 0.61, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 0.01, 0.01, 0.01, 0.01, 0.01, 0.31, 0.31, 0.31, 0.31, 0.31, 0.61, 0.61, 0.61, 0.61, 0.61, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 0.01, 0.01, 0.01, 0.01, 0.01, 0.31, 0.31, 0.31, 0.31, 0.31, 0.61, 0.61, 0.61, 0.61, 0.61, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 0.9099999999999999, 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric']"
eta,"[0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric', 0.01, 0.31, 0.61, 0.9099999999999999, 'symmetric']"
coherence_score,"[0.3292469967093171, 0.32772225652256143, 0.33654199609188234, 0.33035184253231425, 0.3290392678521865, 0.3476320836797837, 0.3420393169654807, 0.3367856866736807, 0.3451462850923748, 0.3371799928806972, 0.3463225324863707, 0.35959231563065924, 0.3467257797097762, 0.3465769203065303, 0.34650011176375567, 0.3450016385930637, 0.3623011004686187, 0.3545290408058, 0.368295310553152, 0.35226008956903615, 0.3458236111756968, 0.35089597536191813, 0.3587215139296374, 0.3494530900182594, 0.34560377658362385, 0.33432763378315483, 0.33641928882050254, 0.3378083985109076, 0.32589339570575254, 0.33890897316378216, 0.33877419264272, 0.34508440818428915, 0.34276467728834314, 0.3485261081535672, 0.33854818638284623, 0.3389596059052923, 0.3468803324020157, 0.34745608475956674, 0.3584091788800349, 0.3437870344704254, 0.33486763118322443, 0.35303470966170686, 0.3517229186258313, 0.35169270481355275, 0.3415383372486776, 0.35044827311144006, 0.3484206121918086, 0.352626865402369, 0.3474933970611937, 0.353335936169645, 0.32294734992805, 0.32674599230716833, 0.33388997224172806, 0.3286573994302174, 0.3372258458174032, 0.34246293861914057, 0.34647274991316407, 0.33490905881779165, 0.33767948086220745, 0.3342315616657844, 0.3418847772665162, 0.3478635980844994, 0.3468803324020157, 0.34718475576187124, 0.3433764921569864, 0.3438691444136096, 0.3468883426996472, 0.35494280228958186, 0.355585930413488, 0.3503901448845525, 0.34602893077820784, 0.35484033166486706, 0.34742091235527384, 0.3505297885370902, 0.3556187059272285, 0.358857414836653, 0.32810739721819066, 0.34512605442028543, 0.3420871881977633, 0.3343599118335371, 0.34523763946167174, 0.3392644670858518, 0.3426222698195506, 0.34424091571619064, 0.3432170529699926, 0.3473704758627775, 0.34948283891584725, 0.3510687589627513, 0.34564199687847885, 0.33936468347755006, 0.3479857626780064, 0.34748545829986466, 0.33765175831227556, 0.35230084221558544, 0.3396387093593448, 0.34323224378467987, 0.3529442726322206, 0.3500070137417252, 0.3504912179000539, 0.3564537523412236, 0.3392177459696598, 0.3263688527432587, 0.3327543803951002, 0.33251653173691187, 0.33676786643599366, 0.3370595866255114, 0.3272655020649781, 0.33028799123986474, 0.33531856308558766, 0.3386827118274803, 0.3521185082959112, 0.3421062501565835, 0.3429528383659472, 0.3468944303035505, 0.3345214586673503, 0.342098002277568, 0.3517599410936277, 0.3492739633145484, 0.3467515302950501, 0.35219522237929474, 0.35234639174241095, 0.35306409548277873, 0.35668930766838536, 0.34965428298515044, 0.3482561406054746]"
