created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Sat Sep 26 15:01:29 +0000 2020,327.0,570.0,kaseydrzazga,[],0.0,[],"@Spacefunmars @RyanPGoldchains Ahem, @netflix we have a doc pitch",1.3098707141163377e+18,Cleveland,"[{'screen_name': 'Spacefunmars', 'name': 'The Bad Boy Of Audio Fiction Comedy', 'id': 850344255763755008, 'id_str': '850344255763755008', 'indices': [0, 13]}, {'screen_name': 'RyanPGoldchains', 'name': 'Lafferty, Daniel', 'id': 322936133, 'id_str': '322936133', 'indices': [14, 30]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [37, 45]}]"
Sat Sep 26 15:01:28 +0000 2020,496.0,294.0,PlainPotatoTay,[],0.0,[],"@charityfaith @netflix @HunterMarch You gotta manifest it, girly. And if that doesn’t work...we’ll beg Netflix: https://t.co/oPbA80BGiy",1.3098707134410056e+18,ALL BLACK LIVES MATTER ✊🏾 ,"[{'screen_name': 'charityfaith', 'name': 'Charity Cervantes', 'id': 1085991552877510656, 'id_str': '1085991552877510656', 'indices': [0, 13]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [14, 22]}, {'screen_name': 'HunterMarch', 'name': 'Hunter March', 'id': 139870596, 'id_str': '139870596', 'indices': [23, 35]}]"
Sat Sep 26 15:01:28 +0000 2020,3.0,13.0,dsLdHzRDPbkII4p,[],1.0,[],"Episodes 13 &amp; 14 of ""ARASHI's Diary -Voyage-"" are out September 30!  Have a look behind the scenes on the Jet Storm and the 5x20 Tour!  Only on @netflix @netflixjp
#嵐 #ARASHI https://t.co/nYZtE9UJmt",1.3098707119434875e+18,,"[{'screen_name': 'arashi5official', 'name': 'ARASHI', 'id': 1167010648410091520, 'id_str': '1167010648410091520', 'indices': [3, 19]}]"
Sat Sep 26 15:01:24 +0000 2020,1242.0,1095.0,AntonCrace,"[{'text': 'TheShining', 'indices': [26, 37]}, {'text': 'Kubrick', 'indices': [161, 169]}]",0.0,[],"Good news! The version of #TheShining on @netflix Singapore is the Euro cut without the spooky skeletons at then end.

24 minutes shorter and a little closer to #Kubrick's vision.",1.3098706932914913e+18,Singapore,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [41, 49]}]"
Sat Sep 26 15:01:23 +0000 2020,0.0,8.0,Finn91048394,[],0.0,[],@netflix  that would be cool if you added shrek,1.3098706905568788e+18,,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
Sat Sep 26 15:01:22 +0000 2020,133.0,378.0,emjcarlson,[],0.0,[],"@netflix Is there a way to turn off the autoplay feature? I just want to see the commentary at the end of the Great British Bake-Off, but it keeps advancing past it!!! I'm the type of person who likes to see the credits, but it's impossible to do!",1.3098706876083446e+18,"Minnesota, USA","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
Sat Sep 26 15:01:19 +0000 2020,7.0,53.0,whoatemyarepa,[],0.0,[],@netflix B obviously,1.3098706744423588e+18,Venezuela,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
Sat Sep 26 15:01:17 +0000 2020,305.0,268.0,TinoFalke,[],1.0,[],"Was Henry Cavill born in the wrong century? 

I mean ... this just looks right https://t.co/fAbJZyL87v",1.3098706647116268e+18,Hamburg,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [3, 11]}]"
Sat Sep 26 15:01:16 +0000 2020,240.0,245.0,bluee_bird6,[],1.0,[],"@dontgoproject @Im_emma_L @Ansdrela_Art @hollowrosewood @LivingTai @EricMaggi @athenaxco @Limbo_Gadreel @Andi_Cova @DreamWorksSheRa @Gingerhazing @netflix @Dreamworks this is fantastic, thank you all so much for keeping the flame of She Ra alive, i love you all, we love you all and we owe you the world, we'll never be gratefoul enough https://t.co/6B4ULZ0GCT",1.3098706598924e+18,,"[{'screen_name': 'emotionalcatra', 'name': 'dont you get it? I LOVE YOU', 'id': 1285411249262649344, 'id_str': '1285411249262649344', 'indices': [3, 18]}, {'screen_name': 'dontgoproject', 'name': ""Don't Go Project"", 'id': 1272695694617436160, 'id_str': '1272695694617436160', 'indices': [20, 34]}, {'screen_name': 'Im_emma_L', 'name': 'ImEmma', 'id': 1160725624237019136, 'id_str': '1160725624237019136', 'indices': [35, 45]}, {'screen_name': 'Ansdrela_Art', 'name': 'Ansdrela❗', 'id': 1047994054049501184, 'id_str': '1047994054049501184', 'indices': [46, 59]}, {'screen_name': 'hollowrosewood', 'name': 'Hollow | Cosplay', 'id': 4908252169, 'id_str': '4908252169', 'indices': [60, 75]}, {'screen_name': 'LivingTai', 'name': 'Tai_Living_Life', 'id': 1271268682224844805, 'id_str': '1271268682224844805', 'indices': [76, 86]}, {'screen_name': 'EricMaggi', 'name': 'Eric Maggi', 'id': 2768444473, 'id_str': '2768444473', 'indices': [87, 97]}, {'screen_name': 'athenaxco', 'name': 'Athena', 'id': 1034979279535308800, 'id_str': '1034979279535308800', 'indices': [98, 108]}, {'screen_name': 'Limbo_Gadreel', 'name': 'LimboWasHere✨', 'id': 1043225602831142912, 'id_str': '1043225602831142912', 'indices': [109, 123]}, {'screen_name': 'Andi_Cova', 'name': 'Andrea Covarrubias', 'id': 72101984, 'id_str': '72101984', 'indices': [124, 134]}]"
Sat Sep 26 15:01:11 +0000 2020,5493.0,866.0,ma1208an,"[{'text': 'DaddysGurl', 'indices': [49, 60]}, {'text': 'MaineMendoza', 'indices': [76, 89]}]",1.0,[],"Pretty please, @netflix !🙏

#DaddysGurl Maine As Stacy
#MaineMendoza https://t.co/qaChvNiTD2",1.3098706409465774e+18,,"[{'screen_name': 'RachelDWhitesi2', 'name': 'megara', 'id': 3726121574, 'id_str': '3726121574', 'indices': [3, 19]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [36, 44]}]"
Sat Sep 26 15:01:09 +0000 2020,1275.0,2313.0,blackheath23,[],0.0,[],@charityfaith @netflix @HunterMarch kkkkk i would love to see you there,1.3098706333969613e+18,,"[{'screen_name': 'charityfaith', 'name': 'Charity Cervantes', 'id': 1085991552877510656, 'id_str': '1085991552877510656', 'indices': [0, 13]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [14, 22]}, {'screen_name': 'HunterMarch', 'name': 'Hunter March', 'id': 139870596, 'id_str': '139870596', 'indices': [23, 35]}]"
