created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Mon Oct 05 08:09:21 +0000 2020,2825.0,2440.0,BrynleyHeaven,[],0.0,[],calling @netflix,1.313028489847636e+18,Here,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [8, 16]}]"
Mon Oct 05 08:09:17 +0000 2020,158.0,223.0,NikWard9,[],1.0,[],I just saw this. Possibly the most important documentary in human history. Well done @WWF_uk @silverbackfilm1 @netflix &amp; all others for getting it organised https://t.co/2Jiy6hJBo9,1.3130284746055803e+18,,"[{'screen_name': 'TonyJuniper', 'name': 'Tony Juniper', 'id': 78600745, 'id_str': '78600745', 'indices': [3, 15]}, {'screen_name': 'wwf_uk', 'name': 'WWF UK 🌏', 'id': 19719076, 'id_str': '19719076', 'indices': [102, 109]}, {'screen_name': 'silverbackfilm1', 'name': 'Silverbackfilms', 'id': 3214745788, 'id_str': '3214745788', 'indices': [110, 126]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [127, 135]}]"
Mon Oct 05 08:08:59 +0000 2020,15036.0,15942.0,AilsaForshaw,"[{'text': 'Explained', 'indices': [51, 61]}]",1.0,[],"Watching the Voting Limited Series by #Explained on @netflix w/ my 10 &amp; 7 yr olds. Trying to explain how our legal system has effectively disenfranchised hundreds of thousands of people labeled “convicted felons.”

They’re so mad.

Even children see how rigged this system is. https://t.co/qJVuhjlMSQ",1.313028397153493e+18,"Victoria, BC, Canada","[{'screen_name': 'MsAbeja', 'name': 'Tashia is busy introverting🏳️\u200d🌈', 'id': 860229739595706368, 'id_str': '860229739595706368', 'indices': [3, 11]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [65, 73]}]"
Mon Oct 05 08:08:41 +0000 2020,119.0,169.0,Sweet_Release89,[],0.0,[],"@MattBomer @netflix So happy it's heeere! I've wanted to see this forever haha. Anticipation level over 9000 😊 really enjoyed it, so happy to see so many people I love in this 😁",1.3130283205236736e+18,,"[{'screen_name': 'MattBomer', 'name': 'Matt Bomer', 'id': 1516479518, 'id_str': '1516479518', 'indices': [0, 10]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [11, 19]}]"
Mon Oct 05 08:08:38 +0000 2020,1108.0,528.0,sophie_hemon,"[{'text': 'Shadowhunters', 'indices': [97, 111]}, {'text': 'SaveShadowhunters', 'indices': [112, 130]}]",0.0,[],Please bring back Shadowhunters 🙏 we want to see the parabatai ceremony between Izzy and Clary   #Shadowhunters #SaveShadowhunters @ConstantinFilm @FreeformTV @netflix @ShadowhuntersTV @hulu @TheCW https://t.co/P3UatRoBKE,1.3130283086747935e+18,"Aquitaine, France","[{'screen_name': 'ConstantinFilm', 'name': 'Constantin Film', 'id': 2433842888, 'id_str': '2433842888', 'indices': [131, 146]}, {'screen_name': 'FreeformTV', 'name': 'Freeform', 'id': 40105401, 'id_str': '40105401', 'indices': [147, 158]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [159, 167]}, {'screen_name': 'ShadowhuntersTV', 'name': 'Shadowhunters', 'id': 3104206934, 'id_str': '3104206934', 'indices': [168, 184]}, {'screen_name': 'hulu', 'name': 'Hulu', 'id': 15033883, 'id_str': '15033883', 'indices': [185, 190]}, {'screen_name': 'TheCW', 'name': 'The CW', 'id': 22083910, 'id_str': '22083910', 'indices': [191, 197]}]"
Mon Oct 05 08:08:37 +0000 2020,139.0,77.0,Exposkydiveua,"[{'text': 'Netflix', 'indices': [91, 99]}]",1.0,[],"Over 600,000 ppl have signed a Change petition pledging to cancel their #Netflix subscriptions.

If each signee had an account &amp; canceled, at $12.99 a month, this would be $7.8 million MONTHLY that @Netflix has lost.

That’s $93 million a year.

Keep canceling! #CancelNetflix",1.3130283066950574e+18,United Arab Emirates🇦🇪🇱🇷,"[{'screen_name': 'LilaGraceRose', 'name': 'Lila Rose', 'id': 70468535, 'id_str': '70468535', 'indices': [3, 17]}]"
Mon Oct 05 08:08:36 +0000 2020,432.0,205.0,Lotwoletters,[],1.0,[],"Practicing 😩 Got tired towards the end 😅 Still proud that I'm doing it even if it always ends up to be one day a week when I get like two pics done. I wish I had energy to do more. I hope I'll figure it out at some point.
#Hannibal #SaveHannibalS4 @netflix https://t.co/d2xVbjA1Pb",1.3130283008774636e+18,,"[{'screen_name': 'RTuomasLeppanen', 'name': '🔞Hannibal memes🌈🍖🥩🔪⬅taking the symbols back🖤', 'id': 2781669398, 'id_str': '2781669398', 'indices': [3, 19]}]"
Mon Oct 05 08:08:05 +0000 2020,9.0,279.0,LenaSwaninski,[],1.0,[],please renew teenage bounty hunters. I am asking nicely @netflix 😉 https://t.co/h8fsSiJNh6,1.3130281717768847e+18,,"[{'screen_name': 'lesbichenun_', 'name': 'meb | renew teenage bounty hunter', 'id': 974835046866563072, 'id_str': '974835046866563072', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [74, 82]}]"
Mon Oct 05 08:07:49 +0000 2020,571.0,715.0,YC_Roscoe,[],1.0,[],“Jingle Jangle: A Christmas Journey” is coming to @Netflix November 13.  The song I did for the soundtrack “This Day” feat. @KianaLede out now. #JingleJangle https://t.co/byWWw8TSxb,1.313028103401218e+18,"Atlanta, Georgia","[{'screen_name': 'Usher', 'name': 'Usher Raymond IV', 'id': 40908929, 'id_str': '40908929', 'indices': [3, 9]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [61, 69]}]"
Mon Oct 05 08:07:47 +0000 2020,348.0,41.0,evigth555,"[{'text': 'proudboys', 'indices': [93, 103]}]",1.0,[],Thank you for all the love and support for The Boys in the Band this weekend. #proudboys 🏳️‍🌈 now streaming on @netflix https://t.co/7neOtZvna6,1.313028097411752e+18,いつもこころに殺破狼,"[{'screen_name': 'MattBomer', 'name': 'Matt Bomer', 'id': 1516479518, 'id_str': '1516479518', 'indices': [3, 13]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [126, 134]}]"
