created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Thu Oct 01 07:45:55 +0000 2020,536.0,1776.0,Gravity_More,[],0.0,[],@_FRAUSTY @NaluticWOW @netflix @parksandrec Srry everyone for the false hope 😥 https://t.co/qPBooYGgIA,1.311573039037911e+18,#BoysS2 #LuciferS5 #Cashper,"[{'screen_name': '_FRAUSTY', 'name': 'Frausty', 'id': 62941334, 'id_str': '62941334', 'indices': [0, 9]}, {'screen_name': 'NaluticWOW', 'name': '🕓LIVE 4pm CDT 👻Nalu👻', 'id': 3984129335, 'id_str': '3984129335', 'indices': [10, 21]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [22, 30]}, {'screen_name': 'parksandrec', 'name': 'Parks and Recreation', 'id': 20630639, 'id_str': '20630639', 'indices': [31, 43]}]"
Thu Oct 01 07:45:53 +0000 2020,11931.0,13076.0,JoeJoeMolloy,[],0.0,[],@AdventureZandB @David_Angle @netflix Yup that it that’s the one right there 😳,1.3115730316854354e+18,philly,"[{'screen_name': 'AdventureZandB', 'name': 'Zach', 'id': 718011451668094976, 'id_str': '718011451668094976', 'indices': [0, 15]}, {'screen_name': 'David_Angle', 'name': 'David Angle 🏳️\u200d🌈', 'id': 351225033, 'id_str': '351225033', 'indices': [16, 28]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [29, 37]}]"
Thu Oct 01 07:45:27 +0000 2020,163.0,299.0,michaelmitsakos,"[{'text': 'GwynethPaltrow', 'indices': [0, 15]}]",0.0,[],"#GwynethPaltrow and her staff at @goop talking about trauma on their @netflix show is an insult to everyone who was suicidal, suffered from panic attacks or went through torture in some form. Just disconnected, lost and highly privileged Westeners looking for an „experience“.",1.311572923212333e+18,,"[{'screen_name': 'goop', 'name': 'goop', 'id': 292250240, 'id_str': '292250240', 'indices': [33, 38]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [69, 77]}]"
Thu Oct 01 07:45:17 +0000 2020,315.0,355.0,bloodydracos,[],1.0,[],"let’s make a deal @netflix 
you give me tua icons i give you money https://t.co/hX6jRbUxX4",1.311572882221273e+18,slytherin,"[{'screen_name': 'lutherphobia', 'name': 'alina ☂︎', 'id': 1290771692650995712, 'id_str': '1290771692650995712', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [36, 44]}]"
Thu Oct 01 07:45:11 +0000 2020,42.0,254.0,bpethtel,[],0.0,[],"Hey, this is a PSA to @Netflix . I’m such a fan of “The Good Place.” I love it, watched it when it was on. But for getting new people to watch, maybe don’t accidentally drop spoilers for season 1. It’s a good show but that plot-twist makes the show... so.. maybe edit the trailer?",1.3115728584940216e+18,"Los Angeles, CA","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [22, 30]}]"
Thu Oct 01 07:45:03 +0000 2020,294.0,680.0,Orozco26,[],0.0,[],@jdizzle221 @parksandrec @netflix This isn’t real.......... https://t.co/U1dfPsKfIz,1.3115728235429192e+18,,"[{'screen_name': 'jdizzle221', 'name': 'Jordan', 'id': 492001625, 'id_str': '492001625', 'indices': [0, 11]}, {'screen_name': 'parksandrec', 'name': 'Parks and Recreation', 'id': 20630639, 'id_str': '20630639', 'indices': [12, 24]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [25, 33]}]"
Thu Oct 01 07:44:55 +0000 2020,1424.0,2120.0,OroroPro,[],1.0,[],Great. Now @netflix should pick up Dark tower too. https://t.co/dkX5iQUury https://t.co/dYzI1Avp7j,1.311572788898005e+18,"Tasmania, Australia","[{'screen_name': 'io_artem', 'name': 'BocharovArtem', 'id': 958238299465928704, 'id_str': '958238299465928704', 'indices': [3, 12]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [25, 33]}]"
Thu Oct 01 07:44:53 +0000 2020,895.0,1156.0,Debbie_Howard1,"[{'text': 'films', 'indices': [57, 63]}]",0.0,[],"@RocksTheFilm is on @Netflix from today. One of the best #films I’ve seen in ages! Can’t wait to re watch this utter gem! 

https://t.co/hUNhM1wrUx",1.3115727811302892e+18,"Sheffield, England","[{'screen_name': 'RocksTheFilm', 'name': 'Rocks Film', 'id': 1151476458835140609, 'id_str': '1151476458835140609', 'indices': [0, 13]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [20, 28]}]"
Thu Oct 01 07:44:51 +0000 2020,41.0,152.0,MedranoSantos23,[],0.0,[],"@xander6981 @netflix It’s damn good. However, like many anime, it does tend to get melodramatic so keep that in mind. That said, it is a damn effective thriller and held up to a second viewing.",1.3115727713070203e+18,,"[{'screen_name': 'xander6981', 'name': 'Nate Anderson', 'id': 30461852, 'id_str': '30461852', 'indices': [0, 11]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [12, 20]}]"
Thu Oct 01 07:44:23 +0000 2020,210.0,1200.0,LDN_daisy,[],1.0,[],"Gillian Anderson has the range — and so does her hair

(📺  The Crown, Sex Education, Hannibal) https://t.co/iNWjyto1we",1.3115726568446812e+18,"London, England","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [3, 11]}]"
Thu Oct 01 07:44:13 +0000 2020,233.0,172.0,the_kunumi,[],1.0,[],"The Mother of the Blues is coming to @Netflix in Ma Rainey’s Black Bottom, based on the play by August Wilson and directed by George C. Wolfe. Watch it December 18. @MaRaineyFilm 
https://t.co/QD0QzO5gFi https://t.co/sMHd18ovbE",1.311572613295231e+18,"Lagos, Nigeria","[{'screen_name': 'violadavis', 'name': 'Viola Davis', 'id': 2717254872, 'id_str': '2717254872', 'indices': [3, 14]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [53, 61]}]"
