created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Tue Sep 29 13:48:27 +0000 2020,527.0,496.0,UrsulaMorrow_,[],1.0,[],"'Jingle Jangle: A Christmas Journey': First look at @Netflix musical starring @ForestWhitaker, @PhyliciaRashad, @AnikaNoniRose and more 🎄🎅🏿 https://t.co/eSYEN1wTvP https://t.co/fHKdaWPU2s",1.3109394991580037e+18,,"[{'screen_name': 'shadowandact', 'name': 'Shadow and Act', 'id': 118369820, 'id_str': '118369820', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [70, 78]}, {'screen_name': 'ForestWhitaker', 'name': 'Forest Whitaker', 'id': 257242329, 'id_str': '257242329', 'indices': [96, 111]}, {'screen_name': 'PhyliciaRashad', 'name': 'Phylicia Rashad', 'id': 1156984812655259649, 'id_str': '1156984812655259649', 'indices': [113, 128]}]"
Tue Sep 29 13:48:14 +0000 2020,58.0,229.0,DearTinaHansen,"[{'text': 'savethesociety', 'indices': [120, 135]}]",0.0,[],"Hello 
@netflix
 
I second the message down below, asking you to change your mind and give @thesociety a second season. #savethesociety https://t.co/2NcBKC69ql",1.310939443465945e+18,Noël Coward Theatre,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [7, 15]}, {'screen_name': 'thesociety', 'name': 'The Society', 'id': 1064947685390725120, 'id_str': '1064947685390725120', 'indices': [91, 102]}]"
Tue Sep 29 13:47:58 +0000 2020,63398.0,19461.0,theversion,"[{'text': 'Bridgerton', 'indices': [114, 125]}, {'text': 'Netflix', 'indices': [126, 134]}]",0.0,[],"Meet the cast of huge new Netflix drama series Bridgerton

@julieandrews @freddiestroma @regejean @nicolacoughlan #Bridgerton #Netflix @netflix https://t.co/M2YDxSoEjQ",1.3109393794483773e+18,Global,"[{'screen_name': 'JulieAndrews', 'name': 'Julie Andrews', 'id': 840247813728428033, 'id_str': '840247813728428033', 'indices': [59, 72]}, {'screen_name': 'freddiestroma', 'name': 'Freddie Stroma', 'id': 47544177, 'id_str': '47544177', 'indices': [73, 87]}, {'screen_name': 'regejean', 'name': 'Regé-Jean Page', 'id': 115346464, 'id_str': '115346464', 'indices': [88, 97]}, {'screen_name': 'nicolacoughlan', 'name': 'Nicola Coughlan', 'id': 32184345, 'id_str': '32184345', 'indices': [98, 113]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [135, 143]}]"
Tue Sep 29 13:47:58 +0000 2020,2717.0,242.0,samanthamarie,[],1.0,[],"'Jingle Jangle: A Christmas Journey': First look at @Netflix musical starring @ForestWhitaker, @PhyliciaRashad, @AnikaNoniRose and more 🎄🎅🏿 https://t.co/eSYEN1wTvP https://t.co/fHKdaWPU2s",1.3109393765794243e+18,$orwhatever,"[{'screen_name': 'shadowandact', 'name': 'Shadow and Act', 'id': 118369820, 'id_str': '118369820', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [70, 78]}, {'screen_name': 'ForestWhitaker', 'name': 'Forest Whitaker', 'id': 257242329, 'id_str': '257242329', 'indices': [96, 111]}, {'screen_name': 'PhyliciaRashad', 'name': 'Phylicia Rashad', 'id': 1156984812655259649, 'id_str': '1156984812655259649', 'indices': [113, 128]}]"
Tue Sep 29 13:47:51 +0000 2020,568.0,1507.0,bluepoet21,[],1.0,[],"'Jingle Jangle: A Christmas Journey': First look at @Netflix musical starring @ForestWhitaker, @PhyliciaRashad, @AnikaNoniRose and more 🎄🎅🏿 https://t.co/eSYEN1wTvP https://t.co/fHKdaWPU2s",1.3109393501930127e+18,,"[{'screen_name': 'shadowandact', 'name': 'Shadow and Act', 'id': 118369820, 'id_str': '118369820', 'indices': [3, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [70, 78]}, {'screen_name': 'ForestWhitaker', 'name': 'Forest Whitaker', 'id': 257242329, 'id_str': '257242329', 'indices': [96, 111]}, {'screen_name': 'PhyliciaRashad', 'name': 'Phylicia Rashad', 'id': 1156984812655259649, 'id_str': '1156984812655259649', 'indices': [113, 128]}]"
Tue Sep 29 13:47:50 +0000 2020,49.0,1127.0,MoussaGalal70,[],1.0,[],"PLENTY of drama in Sochi, but we think we finally defeated the curse of @netflix! 😂😂😂

📹 x @FormuIaUno 

https://t.co/zfHhX73pwF",1.3109393465398108e+18,I am in the house opposite you,"[{'screen_name': 'MercedesAMGF1', 'name': 'Mercedes-AMG F1', 'id': 26235265, 'id_str': '26235265', 'indices': [3, 17]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [91, 99]}, {'screen_name': 'FormuIaUno', 'name': 'ᴍᴀʀʟ', 'id': 1135796082057928704, 'id_str': '1135796082057928704', 'indices': [110, 121]}]"
Tue Sep 29 13:47:49 +0000 2020,402.0,94.0,zebdabeb,[],0.0,[],@heckarish @mahacravesuhu @netflix Where’s the lie? 🤡,1.310939340072276e+18,"Lahore, Pakistan","[{'screen_name': 'heckarish', 'name': 'Arish', 'id': 1171085420576301060, 'id_str': '1171085420576301060', 'indices': [0, 10]}, {'screen_name': 'mahacravesuhu', 'name': 'istridevi', 'id': 1272165354668687360, 'id_str': '1272165354668687360', 'indices': [11, 25]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [26, 34]}]"
Tue Sep 29 13:47:37 +0000 2020,17.0,45.0,kaylee_harger,[],1.0,[],Get on @netflix and watch Enola Holmes right now. LOVED IT!!!! You’re welcome in advance! Amazing cast! Great storytelling!,1.3109392896776397e+18,,"[{'screen_name': 'kellyclarkson', 'name': 'Kelly Clarkson', 'id': 23690344, 'id_str': '23690344', 'indices': [3, 17]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [26, 34]}]"
Tue Sep 29 13:47:35 +0000 2020,58.0,229.0,DearTinaHansen,"[{'text': 'savethesociety', 'indices': [121, 136]}]",1.0,[],"Hello @netflix 
I’m, once again, asking you to change your mind and give @thesociety a second season. #savethesociety",1.3109392808695972e+18,Noël Coward Theatre,"[{'screen_name': 'mclotusflower', 'name': 'Tiff // Save The Society', 'id': 1070827544176414720, 'id_str': '1070827544176414720', 'indices': [3, 17]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [25, 33]}, {'screen_name': 'thesociety', 'name': 'The Society', 'id': 1064947685390725120, 'id_str': '1064947685390725120', 'indices': [92, 103]}]"
Tue Sep 29 13:47:26 +0000 2020,1009.0,905.0,heckarish,[],0.0,[],@mahacravesuhu @zebdabeb Their life’s are wayyy more interesting then ours @netflix take notes,1.310939242151981e+18,Slow dancing in the dark,"[{'screen_name': 'mahacravesuhu', 'name': 'istridevi', 'id': 1272165354668687360, 'id_str': '1272165354668687360', 'indices': [0, 14]}, {'screen_name': 'zebdabeb', 'name': 'Zaib-Un-Nisa', 'id': 4635786101, 'id_str': '4635786101', 'indices': [15, 24]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [75, 83]}]"
