created_at,followers_count,friends_count,handle,hashtags,retweet,symbols,tweet,tweet_id,user_location,user_mentions
Sun Oct 04 09:19:16 +0000 2020,227.0,163.0,TamzSamad,[],0.0,[],Yes please @netflix https://t.co/GZD5KBKTZM,1.312683696835756e+18,,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [11, 19]}]"
Sun Oct 04 09:19:09 +0000 2020,617.0,679.0,rayno_burger,[],1.0,[],@rayno_burger @netflix Especially for those that love a lekker braai 👌🏽,1.312683668570284e+18,Windhoek,"[{'screen_name': 'NetflixSA', 'name': 'NetflixSA', 'id': 939087392971083776, 'id_str': '939087392971083776', 'indices': [3, 13]}, {'screen_name': 'rayno_burger', 'name': 'Rayno #EnjoyLife', 'id': 81780225, 'id_str': '81780225', 'indices': [15, 28]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [29, 37]}]"
Sun Oct 04 09:19:03 +0000 2020,33.0,26.0,save_eyewitness,"[{'text': 'WeWantEyewitnessSeason2', 'indices': [93, 117]}]",0.0,[],do it for philkas @heretv @HereMediaInc @AmazonVideo @netflix @hulu @Showtime @showcasedotca #WeWantEyewitnessSeason2,1.3126836441217475e+18,,"[{'screen_name': 'heretv', 'name': 'Here TV', 'id': 43914913, 'id_str': '43914913', 'indices': [18, 25]}, {'screen_name': 'HereMediaInc', 'name': 'Here Media Inc.', 'id': 594097960, 'id_str': '594097960', 'indices': [26, 39]}, {'screen_name': 'AmazonVideo', 'name': 'Amazon Video', 'id': 799551012109484033, 'id_str': '799551012109484033', 'indices': [40, 52]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [53, 61]}, {'screen_name': 'hulu', 'name': 'Hulu', 'id': 15033883, 'id_str': '15033883', 'indices': [62, 67]}, {'screen_name': 'Showtime', 'name': 'Showtime', 'id': 257548783, 'id_str': '257548783', 'indices': [68, 77]}]"
Sun Oct 04 09:19:00 +0000 2020,78.0,254.0,DearTinaHansen,"[{'text': 'savethesociety', 'indices': [91, 106]}]",0.0,[],a relationship should be 50/50. @netflix you make season two of @thesociety and i watch it #savethesociety,1.3126836310355354e+18,Noël Coward Theatre,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [32, 40]}, {'screen_name': 'thesociety', 'name': 'The Society', 'id': 1064947685390725120, 'id_str': '1064947685390725120', 'indices': [64, 75]}]"
Sun Oct 04 09:18:56 +0000 2020,10773.0,746.0,MeatPeter,"[{'text': 'SirDavidAttenborough', 'indices': [88, 109]}, {'text': 'alifeonourplanet', 'indices': [110, 127]}, {'text': 'mustwatch', 'indices': [128, 138]}]",1.0,[],I’ve just watched this on @netflix and boy it’s compulsive viewing.... #SirDavidAttenborough #alifeonourplanet #mustwatch #ClimateChange https://t.co/kyHRsvz7NJ,1.3126836149839176e+18,"Moira, Northern Ireland.","[{'screen_name': 'ewanventers', 'name': 'Ewan Venters', 'id': 245944941, 'id_str': '245944941', 'indices': [3, 15]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [43, 51]}]"
Sun Oct 04 09:18:53 +0000 2020,1207.0,1596.0,tomboygich1,"[{'text': 'JingleJangle', 'indices': [22, 35]}]",1.0,[],🎄 #JingleJangle trailer coming tomorrow. @NetflixFilm @netflix @strongblacklead https://t.co/mPurxETeDa,1.312683599494353e+18,"Nairobi, Kenya","[{'screen_name': 'PhyliciaRashad', 'name': 'Phylicia Rashad', 'id': 1156984812655259649, 'id_str': '1156984812655259649', 'indices': [3, 18]}, {'screen_name': 'NetflixFilm', 'name': 'NetflixFilm', 'id': 976604963743842304, 'id_str': '976604963743842304', 'indices': [61, 73]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [74, 82]}, {'screen_name': 'strongblacklead', 'name': 'Strong Black Lead', 'id': 955647765408722945, 'id_str': '955647765408722945', 'indices': [83, 99]}]"
Sun Oct 04 09:18:52 +0000 2020,4.0,28.0,London06695905,[],0.0,[],@netflix Put Martin on Netflix,1.3126835972713718e+18,"Fort Worth, TX","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]"
Sun Oct 04 09:18:29 +0000 2020,53.0,43.0,StormChaser0917,"[{'text': 'TheHardyBoys', 'indices': [55, 68]}]",0.0,[],"I can't be the only person in the Twitterverse to love #TheHardyBoys. So I need help to get @netflix attention to consider a reboot of the 1970s TV show. I'm only 39 and I've read every series ever written. However, @parkerstevenso8 and @shaunpcassidy MUST make cameos!",1.3126835002613023e+18,"Ohio, USA","[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [92, 100]}, {'screen_name': 'parkerstevenso8', 'name': 'parkerstevensonofficial', 'id': 1145897615130652672, 'id_str': '1145897615130652672', 'indices': [216, 232]}, {'screen_name': 'shaunpcassidy', 'name': 'Shaun Cassidy', 'id': 2775040478, 'id_str': '2775040478', 'indices': [237, 251]}]"
Sun Oct 04 09:18:14 +0000 2020,3295.0,988.0,helengoth,[],0.0,[],@stephenbrooksUK @netflix I might have to check this out.,1.3126834381813637e+18,Evesham ,"[{'screen_name': 'stephenbrooksUK', 'name': 'Steve Brooks 🚶🏿\u200d♂️👩🏽\u200d🦽🚴🏻 🚌 🏘🌍', 'id': 116148630, 'id_str': '116148630', 'indices': [0, 16]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [17, 25]}]"
Sun Oct 04 09:17:54 +0000 2020,9117.0,1126.0,ewanventers,"[{'text': 'SirDavidAttenborough', 'indices': [71, 92]}, {'text': 'alifeonourplanet', 'indices': [93, 110]}, {'text': 'mustwatch', 'indices': [111, 121]}, {'text': 'ClimateChange', 'indices': [122, 136]}]",0.0,[],I’ve just watched this on @netflix and boy it’s compulsive viewing.... #SirDavidAttenborough #alifeonourplanet #mustwatch #ClimateChange https://t.co/kyHRsvz7NJ,1.312683352084951e+18,London,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [26, 34]}]"
Sun Oct 04 09:17:44 +0000 2020,2810.0,1841.0,pscoordsen13,"[{'text': 'Sanditon', 'indices': [110, 119]}, {'text': 'SaveSanditon', 'indices': [120, 133]}]",1.0,[],"That‘s when land slide started. Still waiting to be rescued.
@primevideouk @RedPlanetTV @netflix 
#Sanditon #SaveSanditon #SanditonPBS #SanditonSeason2 https://t.co/ZtqSO4zCJF",1.3126833098399089e+18,"Lewisville, NC","[{'screen_name': 'yin2_p', 'name': 'PYin', 'id': 1273395896923729921, 'id_str': '1273395896923729921', 'indices': [3, 10]}, {'screen_name': 'primevideouk', 'name': 'Amazon Prime Video UK', 'id': 19338359, 'id_str': '19338359', 'indices': [73, 86]}, {'screen_name': 'RedPlanetTV', 'name': 'Red Planet Pictures', 'id': 2769432830, 'id_str': '2769432830', 'indices': [87, 99]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [100, 108]}]"
