topic,word,rel
0,time,0.07745017856359482
0,watch,0.06195730343461037
0,life,0.05647537112236023
0,planet,0.03433731943368912
0,find,0.02836034446954727
0,david,0.027411410585045815
0,right,0.0222760159522295
0,enjoy,0.020741363987326622
0,attenborough,0.020598797127604485
0,vote,0.016917787492275238
1,take,0.04261098802089691
1,family,0.035290248692035675
1,story,0.028384650126099586
1,next,0.028325624763965607
1,watch,0.025398800149559975
1,american,0.02349584735929966
1,murder,0.02166634239256382
1,read,0.02156160958111286
1,already,0.018470309674739838
1,tell,0.015675527974963188
10,back,0.08765096962451935
10,bring,0.04519001021981239
10,#enolaholmes,0.0385868176817894
10,holmes,0.02986428327858448
10,enola,0.028111450374126434
10,movie,0.025999177247285843
10,watch,0.02507234923541546
10,red_heart️,0.020858433097600937
10,anyone,0.018162500113248825
10,eye,0.018023567274212837
12,think,0.08035372942686081
12,kid,0.028061848133802414
12,watch,0.025253402069211006
12,thing,0.024462031200528145
12,kill,0.02418501302599907
12,#americanmurder,0.023605914786458015
12,#americanmurderthefamilynextdoor,0.021821554750204086
12,end,0.021079102531075478
12,wife,0.019316526129841805
12,learn,0.01797894760966301
14,good,0.13576163351535797
14,give,0.0521809458732605
14,hope,0.028935953974723816
14,need,0.026441087946295738
14,really,0.026046210899949074
14,watch,0.023423388600349426
14,everyone,0.019062785431742668
14,@cobrakaiseries,0.016502300277352333
14,song,0.01641804352402687
14,lose,0.014974065124988556
15,season,0.15529900789260864
15,#emilyinparis,0.05150723457336426
15,watch,0.05003973841667175
15,paris,0.03426380828022957
15,finish,0.03376724570989609
15,emily,0.03224511444568634
15,binge,0.025254126638174057
15,second,0.018739664927124977
15,finally,0.016237763687968254
15,wait,0.015953177586197853
16,interest,0.04006320610642433
16,tonight,0.03971429541707039
16,available,0.02923469804227352
16,october,0.027169102802872658
16,play,0.027136782184243202
16,television,0.026287969201803207
16,original,0.022520123049616814
16,#recordofyouth,0.018607869744300842
16,#parkbogum,0.015965566039085388
16,crazy,0.015508080832660198
18,@netflixturkiye,0.05223514512181282
18,@blutv,0.04219028726220131
18,@farktrgt,0.03933098912239075
18,boy,0.035858020186424255
18,@globalagency,0.03507184237241745
18,@mattbomer,0.034306153655052185
18,band,0.029913321137428284
18,#youcansavebayyanlış,0.02946728840470314
18,#theboysintheband,0.023244619369506836
18,@hbo,0.018966760486364365
19,wait,0.05985168367624283
19,@warnerbrostv,0.04579033702611923
19,@jbfilms,0.04525088518857956
19,#luciferrun100,0.03948088362812996
19,#luciferseason7,0.0382080078125
19,call,0.035623081028461456
19,lucifer,0.01989610493183136
19,#lucifer,0.014076311141252518
19,totally,0.01355784758925438
19,deal,0.013279478065669537
20,documentary,0.05458779260516167
20,watch,0.05326465517282486
20,social,0.045182451605796814
20,recommend,0.027792472392320633
20,dilemma,0.026165546849370003
20,#thesocialdilemma,0.02330203726887703
20,medium,0.016870293766260147
20,use,0.01599406823515892
20,list,0.014713072218000889
20,platform,0.01420101709663868
